full_date,temp_average,temp_min,temp_max,precipitation,wind_direction,wind_speed,sea_pressure
2020-01-01,39.38,35.96,42.980000000000004,0,268,24.8,1003
2020-01-02,39.56,33.98,48.92,0,231,20.2,1010.7
2020-01-03,46.76,44.06,51.98,0,231,11.5,1008.2
2020-01-04,46.58,39.92,48.02,3.3,14,8.6,1004
2020-01-05,39.02,32,41,2.8,308,26.6,1004.1
2020-01-06,32.72,27.14,41,0,242,10.8,1013.2
2020-01-07,37.76,33.08,42.08,0,214,14.8,1015.3
2020-01-08,38.12,29.12,44.96,0.5,282,22.7,1010.9
2020-01-09,29.12,22.1,33.08,0,304,21.2,1035.2
2020-01-10,37.76,29.12,53.06,0,218,22.3,1032.7
2020-01-11,57.02,48.92,69.98,0,208,29.2,1021.4
2020-01-12,65.66,39.92,73.94,0.5,254,33.5,1014.7
2020-01-13,41.18,35.96,42.980000000000004,0.3,53,14.8,1030.7
2020-01-14,39.02,37.04,42.08,0,141,9,1025.6
2020-01-15,44.42,39.02,51.98,0,271,13.7,1018.8
2020-01-16,41.9,30.2,46.94,2.5,292,24.5,1010.8
2020-01-17,24.62,16.16,30.2,0,317,32.4,1030.5
2020-01-18,18.14,14.18,33.08,7.1,260,14,1028.7
2020-01-19,33.26,24.26,44.96,0.5,274,21.6,1005.2
2020-01-20,25.880000000000003,19.22,30.2,0,311,22.3,1020.6
2020-01-21,23.18,18.14,28.22,0,331,12.2,1029.1
2020-01-22,28.580000000000002,20.12,39.02,0,268,7.9,1029.8
2020-01-23,35.96,26.240000000000002,50,0,224,11.9,1027.6
2020-01-24,40.82,33.98,48.02,0,5,11.2,1029
2020-01-25,42.260000000000005,39.92,50,17.8,83,22.7,1020.4
2020-01-26,47.120000000000005,39.92,51.08,0,252,20.2,1004.8
2020-01-27,42.260000000000005,39.02,48.02,0,258,19.8,1002.4
2020-01-28,41,35.96,42.08,0,318,20.9,1006.8
2020-01-29,36.68,29.12,42.980000000000004,0,327,16.9,1016.1
2020-01-30,28.94,22.1,33.08,0,358,12.2,1026.2
2020-01-31,35.06,29.12,46.94,0,223,14.4,1025.7
2020-02-01,38.3,33.98,41,0.5,80,7.2,1013.1
2020-02-02,39.2,35.96,44.06,0,304,11.2,999.6
2020-02-03,41.36,35.06,50,0,268,15.5,1007.1
2020-02-04,42.08,35.06,46.94,0,23,5,1009.7
2020-02-05,41.36,33.08,42.980000000000004,1.3,358,10.1,1015.2
2020-02-06,37.22,33.98,41,11.2,58,19.8,1007
2020-02-07,39.56,30.2,55.94,8.1,334,24.1,987.9
2020-02-08,31.46,25.16,37.04,0,285,26.6,1017.2
2020-02-09,26.96,20.12,37.94,0,63,11.9,1033.4
2020-02-10,42.08,37.94,46.94,4.1,215,21.6,1020.9
2020-02-11,43.16,39.92,44.96,4.3,347,10.1,1013.6
2020-02-12,41.18,37.04,44.96,0,260,18.4,1017.2
2020-02-13,39.02,35.06,41,13.5,290,10.8,1006.6
2020-02-14,32.54,15.259999999999998,39.92,0,318,23,1022.4
2020-02-15,19.22,12.2,31.1,0,249,16.6,1033.7
2020-02-16,35.06,29.12,46.04,0,238,18,1020.4
2020-02-17,42.08,31.1,48.92,0,298,14,1023.3
2020-02-18,37.4,31.1,42.08,11.4,74,17.3,1025.5
2020-02-19,42.620000000000005,32,46.04,0,279,24.1,1018.9
2020-02-20,31.82,24.26,37.04,0,297,19.1,1028.8
2020-02-21,25.52,17.240000000000002,33.08,0,300,16.2,1029.7
2020-02-22,36.32,29.12,48.92,0,255,18.7,1021
2020-02-23,44.239999999999995,33.98,57.92,0,236,14.4,1019.5
2020-02-24,47.84,35.06,64.04,0,203,14.4,1016
2020-02-25,47.48,42.980000000000004,53.06,6.6,101,8.6,1012.8
2020-02-26,45.68,44.06,48.02,3.8,41,15.1,1014.4
2020-02-27,44.96,33.08,55.04,19,245,36.4,997.4
2020-02-28,34.34,28.22,37.94,0,257,24.8,1006.7
2020-02-29,30.56,22.1,35.06,0,269,19.8,1009.2
2020-12-01,58.82,42.08,62.959999999999994,10.4,186,25.2,1001.1
2020-12-02,41,35.06,42.980000000000004,0,230,21.6,1011.3
2020-12-03,40.82,33.08,50,0,236,20.2,1018.9
2020-12-04,47.120000000000005,39.92,57.92,0.5,214,21.2,1015.7
2020-12-05,42.620000000000005,33.08,46.94,43.7,338,29.2,1002
2020-12-06,34.16,29.12,37.04,0,292,27.7,1002.1
2020-12-07,30.38,27.14,35.06,0,300,16.6,1006.7
2020-12-08,29.12,26.240000000000002,31.1,0,327,21.6,1005.8
2020-12-09,29.12,24.26,35.96,0,250,12.2,1007.5
2020-12-10,37.76,33.98,44.96,0,288,15.5,1014.5
2020-12-11,39.02,28.22,51.08,0,220,13.3,1021.3
2020-12-12,42.08,35.06,46.94,12.7,14,9.4,1020.2
2020-12-13,47.3,39.92,59,0,311,11.2,1013.1
2020-12-14,38.48,33.98,39.92,1.5,304,12.6,1012.3
2020-12-15,33.26,23.18,35.96,0,293,22.3,1021
2020-12-16,22.46,16.16,30.2,1,15,21.2,1030.4
2020-12-17,26.240000000000002,21.2,32,33,13,36.4,1015.6
2020-12-18,25.34,21.2,30.2,0,335,16.6,1023.2
2020-12-19,23.18,17.240000000000002,31.1,0,291,9.7,1028
2020-12-20,29.12,26.240000000000002,35.96,0.8,218,5.8,1021.8
