full_date,temp_average,temp_min,temp_max,precipitation,wind_direction,wind_speed,sea_pressure
2016-01-01,39.02,33.08,41,0,256,20.5,1013.5
2016-01-02,35.06,31.1,39.92,0,259,21.6,1013.3
2016-01-03,35.96,31.1,44.06,0,240,18.7,1008.7
2016-01-04,30.02,14.18,35.96,0,327,19.8,1016.5
2016-01-05,15.979999999999997,8.240000000000002,26.240000000000002,0,301,16.2,1033
2016-01-06,29.84,21.2,44.96,0,229,16.2,1031.1
2016-01-07,33.08,26.240000000000002,42.980000000000004,0,308,10.4,1025.9
2016-01-08,34.52,30.2,42.08,0,28,17.6,1024.6
2016-01-10,44.96,37.94,57.92,35.1,122,24.1,1005.8
2016-01-11,39.74,25.16,51.08,0,276,31,1007.5
2016-01-12,28.580000000000002,21.2,37.04,2,197,15.5,1012.3
2016-01-13,29.3,21.2,33.08,0,271,31.7,1006.5
2016-01-14,24.26,21.2,30.2,0,246,16.9,1012.6
2016-01-16,38.660000000000004,33.98,42.980000000000004,31,329,15.1,999.1
2016-01-17,35.24,29.12,37.94,2.5,320,15.1,1007.8
2016-01-19,20.12,16.16,25.16,0,279,35.3,1007.2
2016-01-20,23.54,19.22,33.08,0,294,30.2,1015.6
2016-01-21,26.96,21.2,33.08,0,305,22.3,1017.2
2016-01-22,24.26,19.22,32,0,316,18.4,1021.8
2016-01-23,28.580000000000002,20.12,32,9.4,19,32.8,1013.6
2016-01-26,36.68,28.22,51.08,0,203,23,1015.6
2016-01-27,42.980000000000004,31.1,44.96,0,277,19.4,1014.1
2016-01-28,33.98,26.240000000000002,42.08,0,206,13,1013.7
2016-01-30,35.96,30.2,42.980000000000004,0,245,22,1012.5
2016-01-31,42.980000000000004,37.94,57.02,0,218,19.1,1011.3
2016-02-01,49.46,39.02,64.94,0,253,22.3,1008.1
2016-02-02,43.879999999999995,35.96,50,0,275,11.2,1024.2
2016-02-04,54.5,42.980000000000004,55.94,0.3,266,16.9,1013.9
2016-02-06,28.76,24.26,35.06,0,247,16.9,1026.1
2016-02-07,33.62,29.12,44.06,0,196,15.8,1020.7
2016-02-08,28.94,18.14,37.94,13.5,9,34.2,1010.2
2016-02-11,27.68,11.120000000000001,31.1,0.3,276,27,1007.6
2016-02-12,14.54,8.240000000000002,24.26,0,252,18.7,1018.7
2016-02-13,19.939999999999998,-3.8200000000000003,24.26,0,286,26.3,1012.8
2016-02-14,0.14000000000000412,-8.86,12.2,0,297,27.7,1027.8
2016-02-17,41.54,33.98,46.04,0,287,17.3,1011.6
2016-02-18,32.72,24.26,35.06,0,313,19.4,1026.6
2016-02-20,42.980000000000004,33.08,60.08,0.3,194,22.3,1012.4
2016-02-21,49.64,42.08,53.96,0,282,20.2,1010.4
2016-02-22,39.74,30.2,42.980000000000004,0,30,13.3,1019.9
2016-02-25,53.78,41,62.059999999999995,20.6,205,35.6,990.5
2016-02-26,38.3,26.240000000000002,41,0,286,30.6,1003.9
2016-02-28,42.44,35.96,57.92,0,221,23.4,1009.6
2016-02-29,50.18,42.980000000000004,64.04,0,233,26.3,1002.8
2016-12-01,50.18,42.980000000000004,57.02,7.9,273,25.2,1000.5
2016-12-02,44.96,37.94,51.08,0,259,23,1007.2
2016-12-03,41.72,35.06,44.06,0,296,25.2,1011.8
2016-12-04,36.86,31.1,42.08,0,320,16.2,1021.3
2016-12-06,38.839999999999996,33.98,44.06,0,338,12.2,1018.1
2016-12-08,39.02,33.98,42.980000000000004,0,250,17.6,1011.8
2016-12-09,34.16,25.16,37.04,0,286,25.9,1014.9
2016-12-10,25.52,21.2,29.12,0,301,19.1,1026
2016-12-11,26.060000000000002,20.12,35.06,0.5,244,11.9,1031.4
2016-12-12,36.5,29.12,44.06,10.7,205,18,1012.4
2016-12-13,38.12,35.06,42.980000000000004,0,241,16.9,1017.3
2016-12-14,37.58,27.14,42.08,0,266,18,1012.7
2016-12-15,27.14,14.18,32,0,261,35.3,1007.6
2016-12-16,12.559999999999999,4.100000000000001,21.2,0,267,22.7,1026.4
2016-12-18,44.42,33.08,57.02,2.8,236,28.1,1011.9
2016-12-19,27.32,19.22,33.08,0,335,18.4,1037.7
2016-12-21,35.24,29.12,44.96,0,254,18.4,1019.1
2016-12-22,35.24,31.1,39.02,0.5,239,12.6,1016.8
2016-12-23,38.660000000000004,35.06,46.04,0,262,17.6,1025.2
2016-12-24,39.92,35.06,44.96,9.7,229,18.7,1020.6
2016-12-25,39.56,27.14,44.96,0,294,19.1,1030
2016-12-26,30.38,24.26,48.02,0.3,43,16.6,1036.3
2016-12-27,50.9,39.02,57.92,0,252,32,1008.1
2016-12-28,39.2,32,42.08,0,290,17.3,1016.1
2016-12-30,36.32,30.2,41,0,260,28.4,998.9
2016-12-31,31.46,26.240000000000002,42.08,1.8,227,22.7,1016
