full_date,temp_average,temp_min,temp_max,precipitation,wind_direction,wind_speed,sea_pressure
2021-01-01,33.8,29.12,35.96,2.5,5,10.1,1030.1
2021-01-02,38.839999999999996,32,42.08,10.4,349,23,1011
2021-01-03,32.72,29.12,35.96,0.8,354,15.1,1019.9
2021-01-04,33.62,31.1,39.02,0,1,18.4,1014.6
2021-01-05,31.64,30.2,33.08,0.3,343,17.3,1013
2021-01-06,32.9,30.2,39.92,0,319,21.6,1011.8
2021-01-07,34.16,29.12,42.08,0,311,22,1015
2021-01-08,31.82,26.240000000000002,41,0,313,17.3,1013
2021-01-09,29.12,24.26,35.96,0,337,18.4,1010.8
2021-01-10,33.08,27.14,41,0,314,15.1,1019.9
2021-01-11,31.46,24.26,35.96,0,262,9.4,1023.8
2021-01-12,33.44,27.14,42.08,0,283,11.9,1018.3
2021-01-13,35.24,31.1,39.92,0,245,11.2,1015.5
2021-01-14,35.24,31.1,39.02,2.5,210,8.6,1011.5
2021-01-15,35.96,33.08,41,0,41,13.3,1017.3
2021-01-16,42.44,37.04,51.98,26.2,146,29.9,998.4
2021-01-17,38.839999999999996,33.98,42.980000000000004,0,247,29.9,996.2
2021-01-18,39.92,31.1,44.96,0,254,23.4,1003.9
2021-01-19,33.08,27.14,41,0,273,17.3,1014.4
2021-01-20,33.98,25.16,37.94,0,287,17.6,1012
2021-01-21,26.060000000000002,21.2,32,0,231,12.6,1008.3
2021-01-22,35.06,30.2,42.980000000000004,0,264,15.5,1003.5
2021-01-23,30.56,17.240000000000002,33.98,0,296,26.6,1011.5
2021-01-24,21.92,16.16,31.1,0,294,33.5,1013.8
2021-01-25,25.7,19.22,35.96,0,309,20.9,1016.9
2021-01-26,28.22,22.1,35.06,5.6,12,13.3,1017
2021-01-27,30.38,28.22,35.96,1.8,348,13.7,1015
2021-01-28,30.92,16.16,33.08,1.3,322,21.6,1015.1
2021-01-29,14.720000000000002,7.16,18.14,0,312,33.5,1014.3
2021-01-30,13.279999999999998,8.240000000000002,20.12,0,323,21.2,1022.9
2021-01-31,14.18,7.16,23.18,0,349,9.4,1026.8
2021-02-01,26.96,22.1,35.06,17.5,33,33.5,1018.4
2021-02-02,32.18,30.2,39.92,5.1,8,30.6,997.9
