full_date,temp_average,temp_min,temp_max,precipitation,wind_direction,wind_speed,sea_pressure
2022-01-01,45.86,44.06,51.98,2,66,5.4,1009.7
2022-01-02,45.32,33.08,46.04,5.8,337,14.4,1003.8
2022-01-03,29.48,21.2,33.08,0,338,22.7,1019.3
2022-01-04,23.18,17.240000000000002,31.1,0,269,15.8,1026.3
2022-01-05,37.04,27.14,51.08,3,197,18,1014.1
2022-01-06,40.28,32,42.980000000000004,0,271,17.3,1011.3
2022-01-07,31.1,23.18,33.08,12.2,316,21.6,1011.7
2022-01-08,23.54,17.240000000000002,28.22,0,290,17.3,1029.7
2022-01-09,31.46,21.2,42.980000000000004,0.3,220,25.9,1020.1
2022-01-10,32.9,22.1,39.92,0,289,27,1015.6
2022-01-11,15.620000000000001,8.240000000000002,22.1,0,302,21.2,1028.9
2022-01-12,22.46,10.220000000000002,42.08,0,222,20.9,1022.1
2022-01-13,36.14,29.12,46.04,0,148,6.8,1016.3
2022-01-14,37.04,15.259999999999998,41,0,346,26.3,1008.8
2022-01-15,12.920000000000002,4.100000000000001,15.259999999999998,0,310,27.7,1020.5
2022-01-16,12.559999999999999,5.18,35.06,0,0,13.3,1027.4
2022-01-17,38.660000000000004,35.06,48.92,18.5,165,38.5,993.2
2022-01-18,31.1,21.2,35.96,0,290,29.2,1004.7
2022-01-19,29.84,20.12,46.04,0,218,22.3,1017
2022-01-20,37.4,19.22,41,3.8,297,17.6,1019.1
2022-01-21,17.6,9.14,22.1,0,340,17.6,1033.7
2022-01-22,18.14,13.100000000000001,26.240000000000002,0,353,14.4,1027.5
2022-01-23,25.34,19.22,35.06,0.3,235,16.2,1011.5
2022-01-24,27.68,23.18,30.2,1,334,11.9,1011.9
2022-01-25,32.9,28.22,41,0.5,247,14.4,1013.8
2022-01-26,24.8,12.2,28.22,0,319,19.8,1025.3
2022-01-27,16.520000000000003,9.14,27.14,0,262,13.7,1029.3
2022-01-28,28.94,25.16,35.96,0.3,259,11.9,1020
2022-01-29,23.36,12.2,29.12,11.4,346,36.7,1002.1
2022-01-30,15.259999999999998,10.220000000000002,23.18,0,285,23,1010.3
2022-01-31,20.84,14.18,31.1,0,317,8.6,1027.4
2022-02-01,25.7,18.14,35.06,0,18,14,1034.9
2022-02-02,35.06,31.1,42.08,0,14,2.5,1031.4
2022-02-03,39.74,35.06,46.94,4.3,190,11.9,1023.6
2022-02-04,34.16,22.1,39.92,47.5,11,19.1,1014.9
2022-02-05,22.28,15.259999999999998,24.26,1.3,325,22.7,1021
2022-02-06,17.779999999999998,10.220000000000002,27.14,0,330,11.2,1036.3
2022-02-07,28.94,22.1,41,10.4,31,6.8,1027.1
2022-02-08,38.660000000000004,35.06,42.08,12.4,300,18,1010.4
2022-02-09,35.6,30.2,42.980000000000004,0,231,15.8,1015.6
2022-02-10,38.660000000000004,30.2,51.08,0,230,15.5,1010.6
2022-02-11,41.54,31.1,51.98,0,200,16.2,1014.6
2022-02-12,49.28,39.02,60.08,0,239,23.4,1012
2022-02-13,33.62,25.16,39.02,5.6,345,16.2,1019.7
2022-02-14,21.560000000000002,14.18,25.16,0.3,320,23,1017.3
2022-02-15,17.42,11.120000000000001,27.14,0,278,18,1034.2
2022-02-16,27.68,17.240000000000002,46.94,0,197,21.6,1037.2
2022-02-17,50.54,42.980000000000004,60.980000000000004,0.8,205,27.7,1018.1
2022-02-18,51.26,25.16,62.059999999999995,7.9,275,34.9,1002.7
2022-02-19,28.580000000000002,20.12,39.02,0,253,24.8,1014
2022-02-20,24.439999999999998,16.16,33.08,0,255,25.2,1026.4
2022-02-21,37.94,31.1,53.06,0,214,16.6,1025.9
2022-02-22,38.839999999999996,30.2,55.04,8.9,90,14.4,1025.5
2022-02-23,57.379999999999995,32,69.08,0,245,28.1,1011.4
2022-02-24,29.12,22.1,32,0,325,15.5,1030.5
2022-02-25,28.76,18.14,33.08,17.8,48,23.4,1022.1
2022-02-26,21.560000000000002,13.100000000000001,31.1,0,291,12.2,1026.7
2022-02-27,30.02,22.1,41,0,260,24.5,1013.3
2022-02-28,25.34,18.14,29.12,0,317,19.8,1022
2022-12-01,42.620000000000005,35.96,42.980000000000004,0,275,25.9,1018
2022-12-02,38.839999999999996,33.08,44.96,0,231,13.7,1031.9
2022-12-03,48.2,39.02,59,4.1,202,27,1018.4
2022-12-04,42.620000000000005,32,42.980000000000004,0,296,14.4,1020.2
2022-12-05,38.839999999999996,29.12,48.92,0,186,14.8,1025.7
2022-12-06,45.86,39.92,55.04,2.3,126,10.4,1029.7
2022-12-07,51.620000000000005,48.02,59,21.6,168,16.6,1022
2022-12-08,52.52,37.04,57.92,0,325,23.4,1020.3
2022-12-09,39.38,33.08,46.94,0,338,22.3,1023.8
2022-12-10,33.44,31.1,35.96,0,1,20.9,1029.7
2022-12-11,29.84,25.16,33.98,1,0,20.9,1026.4
