full_date,temp_average,temp_min,temp_max,precipitation,wind_direction,wind_speed,sea_pressure
2019-01-01,47.120000000000005,33.98,59,9.7,272,25.6,1006.7
2019-01-02,33.44,28.22,37.04,0,355,15.1,1024.8
2019-01-03,37.58,32,46.04,0.5,249,16.9,1013.4
2019-01-04,40.28,33.98,48.02,0,224,18,1012.1
2019-01-05,41,37.94,42.980000000000004,13.5,353,14.8,1002.7
2019-01-06,39.56,25.16,46.94,0,299,23,1009.8
2019-01-07,26.060000000000002,19.22,31.1,0,331,18.7,1028.2
2019-01-08,34.16,30.2,42.980000000000004,0.5,150,12.2,1016.5
2019-01-09,39.92,35.06,46.04,3.3,269,25.2,994.8
2019-01-10,35.78,26.240000000000002,37.04,0,289,25.9,1000.2
2019-01-11,26.78,17.240000000000002,30.2,0,292,29.2,1017.5
2019-01-12,20.48,15.259999999999998,29.12,0,296,23.8,1030.7
2019-01-13,21.74,16.16,29.12,0,357,13.3,1030.6
2019-01-14,26.42,23.18,31.1,0,356,14,1023.1
2019-01-15,29.84,24.26,39.02,0,300,11.9,1018.2
2019-01-16,31.82,25.16,41,0,240,18.7,1015.8
2019-01-17,27.14,18.14,33.08,0,337,15.5,1026.9
2019-01-18,32.36,27.14,42.980000000000004,0,176,10.8,1020.1
2019-01-19,32.72,28.22,37.04,3.3,24,19.4,1023.6
2019-01-20,29.66,10.220000000000002,37.04,30.5,356,28.8,1000.7
2019-01-21,9.32,5.18,10.220000000000002,0,292,32.4,1008.8
2019-01-22,14.36,7.16,28.22,0,291,22.7,1030.5
2019-01-23,29.48,20.12,48.02,0,208,22,1024.2
2019-01-24,51.98,37.04,59,25.4,212,38.2,1000.6
2019-01-25,39.02,29.12,42.08,0,268,22,1010.7
2019-01-26,30.38,25.16,35.96,0,275,13.7,1023.1
2019-01-27,35.06,27.14,46.94,0,176,21.2,1018.6
2019-01-28,33.98,24.26,42.08,0,338,16.2,1017.9
2019-01-29,27.68,20.12,37.94,1.3,57,20.2,1017
2019-01-30,33.26,9.14,39.02,4.1,249,25.6,1008.6
2019-01-31,12.379999999999999,5.18,18.14,0,258,27.7,1023.7
2019-02-01,15.979999999999997,10.220000000000002,23.18,0,264,21.2,1027.2
2019-02-02,22.1,14.18,35.06,0,247,20.5,1020.7
2019-02-03,33.8,27.14,39.02,0,98,10.1,1020.1
2019-02-04,44.78,35.06,62.959999999999994,0,209,15.1,1016.5
2019-02-05,51.26,39.92,64.94,0,247,19.4,1013.2
2019-02-06,39.56,33.08,44.06,9.4,54,16.2,1022.9
