full_date,temp_average,temp_min,temp_max,precipitation,wind_direction,wind_speed,sea_pressure
2015-01-01,26.060000000000002,22.1,33.08,0,230,23,1016.1
2015-01-02,34.34,31.1,41,0,256,20.5,1019.8
2015-01-05,39.56,17.240000000000002,50,0,279,35.6,1014.2
2015-01-07,18.86,4.100000000000001,26.240000000000002,0,268,25.2,1012.4
2015-01-08,7.879999999999999,-0.759999999999998,19.22,0,262,23,1024.3
2015-01-09,23.36,19.22,30.2,0.3,237,23,1016.2
2015-01-10,21.92,17.240000000000002,24.26,0,263,18.7,1026.9
2015-01-11,21.02,15.259999999999998,33.08,0,227,15.5,1035.3
2015-01-13,27.14,15.259999999999998,35.06,0,349,16.9,1032.9
2015-01-14,18.32,14.18,25.16,0,322,14,1030.4
2015-01-15,26.060000000000002,25.16,31.1,3,305,15.5,1016.5
2015-01-16,28.22,15.259999999999998,37.94,0,261,25.2,1009.3
2015-01-17,16.16,9.14,22.1,0,263,17.6,1026.1
2015-01-19,42.260000000000005,32,46.04,0,262,24.5,1003.9
2015-01-20,33.44,27.14,39.02,0,269,21.6,1009.9
2015-01-24,32.36,31.1,33.98,18,302,16.6,999.7
2015-01-25,33.44,19.22,37.94,0,279,23,1003.2
2015-01-26,20.12,11.120000000000001,29.12,2.5,10,26.3,1018
2015-01-27,18.32,14.18,19.22,24.1,343,35.6,1002.1
2015-01-28,16.520000000000003,13.100000000000001,24.26,0.3,306,20.5,1014
2015-01-30,30.74,19.22,33.98,1.5,254,19.1,1009.7
2015-01-31,18.32,11.120000000000001,21.2,1.3,301,35.3,1010.9
2015-02-01,19.22,12.2,30.2,0,286,19.1,1019.9
2015-02-03,13.100000000000001,6.259999999999998,22.1,0,266,20.9,1019.5
2015-02-04,23.18,14.18,37.94,0.3,208,15.1,1021.6
2015-02-05,30.74,7.16,35.96,2.3,300,23.8,1013.8
2015-02-06,11.66,5.18,21.2,0,266,18.4,1019.3
2015-02-09,17.06,14.18,25.16,22.4,349,24.1,1019.8
2015-02-10,19.939999999999998,14.18,30.2,1.3,359,18,1019.2
2015-02-11,21.560000000000002,14.18,25.16,0.3,356,18.7,1018.1
2015-02-13,16.16,7.16,22.1,0,298,24.8,1013.8
2015-02-15,19.22,-1.8400000000000034,20.12,9.9,315,33.5,1000
2015-02-16,6.440000000000001,-2.740000000000002,19.22,0,288,31.7,1013.1
2015-02-17,14.54,10.220000000000002,23.18,0.5,334,12.6,1013.9
2015-02-18,23.36,17.240000000000002,29.12,0.3,345,8.6,1010.8
2015-02-20,11.479999999999997,5.18,20.12,0,272,29.9,1016.3
2015-02-21,16.7,4.100000000000001,33.98,4.3,207,18,1029.1
2015-02-23,26.6,4.100000000000001,33.08,0,296,23.4,1021.6
2015-02-24,8.779999999999998,2.1199999999999974,19.22,0,230,15.1,1022.5
2015-12-04,42.620000000000005,37.94,48.02,0,282,17.3,1026.9
2015-12-05,44.42,39.02,53.06,0,246,10.8,1035.8
2015-12-06,44.239999999999995,35.96,59,0,222,13,1029.1
2015-12-08,42.08,37.04,44.06,0,5,16.9,1019.8
2015-12-13,50.72,46.04,53.06,0,57,10.8,1022.2
2015-12-15,54.86,48.02,60.980000000000004,4.8,267,22.7,996.9
2015-12-16,44.239999999999995,37.94,48.02,0,56,14,1019.2
2015-12-17,43.879999999999995,39.02,51.98,14,130,13,1014.6
2015-12-18,48.92,39.02,51.98,1,304,16.9,1003.4
2015-12-19,38.48,33.08,39.92,0,273,24.8,1011.9
2015-12-20,35.78,31.1,41,0,249,16.6,1027.5
2015-12-21,41.54,32,53.06,0,216,25.9,1022.2
2015-12-22,52.34,48.02,60.08,5.8,208,14.4,1015.6
2015-12-26,49.46,41,55.04,0,59,10.8,1031.2
2015-12-28,35.42,29.12,37.94,0,359,21.6,1030.3
2015-12-30,26.42,25.16,37.04,0.8,339,10.1,1026.1
