full_date,temp_average,temp_min,temp_max,precipitation,wind_direction,wind_speed,sea_pressure
2018-01-01,5.540000000000003,0.14000000000000412,13.100000000000001,0,294,26.3,1023.6
2018-01-02,9.86,4.100000000000001,19.22,0,267,20.5,1024.6
2018-01-03,20.84,16.16,29.12,0,226,15.1,1023.7
2018-01-05,17.96,6.259999999999998,24.26,0,269,40,997.6
2018-01-06,8.420000000000002,1.2199999999999989,12.2,0,276,35.3,1014.6
2018-01-07,4.82,-1.8400000000000034,17.240000000000002,0,264,25.9,1029.2
2018-01-08,24.26,17.240000000000002,35.06,0,224,27,1018.9
2018-01-09,35.24,31.1,42.980000000000004,0,258,22.3,1017.3
2018-01-11,39.38,33.08,51.08,0,207,18,1026.9
2018-01-12,49.64,39.02,60.08,15.7,188,23.8,1014
2018-01-13,50.36,19.22,60.980000000000004,31.5,252,32.4,1007
2018-01-14,19.22,14.18,23.18,0,333,18.7,1034.5
2018-01-15,15.979999999999997,12.2,21.2,0,345,22,1038.3
2018-01-17,32.36,31.1,33.98,5.3,31,10.4,1023.4
2018-01-18,28.22,21.2,32,0,299,18,1014
2018-01-20,37.22,29.12,46.94,0,235,23,1008.4
2018-01-24,38.48,24.26,42.08,0,276,23.4,1009.2
2018-01-25,25.52,21.2,30.2,0,303,25.9,1024.4
2018-01-27,36.5,25.16,53.06,0,201,26.3,1028.6
2018-01-28,48.92,42.980000000000004,51.98,0.8,250,16.6,1022.7
2018-01-29,38.48,28.22,42.980000000000004,0,25,25.6,1023.8
2018-01-30,26.78,20.12,31.1,3.8,339,24.5,1013.7
2018-01-31,24.26,18.14,30.2,0,257,21.2,1019.3
2018-02-01,34.7,30.2,46.04,1,213,21.6,1013.8
2018-02-02,32.36,12.2,37.94,6.4,285,28.1,1011.8
2018-02-03,17.06,10.220000000000002,28.22,0,236,20.9,1027
2018-02-06,26.96,22.1,33.98,0,258,13.3,1028.3
2018-02-08,29.84,22.1,33.98,0,296,21.6,1023.5
2018-02-09,26.78,22.1,32,0,240,18.4,1032.4
2018-02-10,38.839999999999996,30.2,51.98,4.1,185,13.7,1023.8
2018-02-13,29.66,25.16,33.08,0,18,16.2,1040.8
2018-02-14,35.06,28.22,46.94,0,213,18,1024.1
2018-02-15,42.08,35.06,48.92,0,215,13.7,1009.8
2018-02-16,48.74,33.98,53.96,0.5,265,17.6,1003.5
2018-02-17,33.08,27.14,35.06,4.3,58,18.7,1025.6
2018-02-18,35.6,32,44.06,8.9,324,16.6,1022.1
2018-02-19,37.94,26.240000000000002,50,1.5,201,20.2,1031
2018-02-20,55.22,42.08,69.98,0.3,217,17.3,1023.8
2018-02-21,55.76,41,71.96,0,225,23,1022.8
2018-02-23,35.06,31.1,39.92,3,61,14.8,1033.7
2018-02-24,44.96,37.04,55.04,0,293,16.6,1019.6
2018-02-25,39.74,37.04,41,13,60,23,1020.9
2018-02-26,42.980000000000004,37.94,51.08,0,289,16.9,1017.7
2018-02-27,43.7,35.96,53.06,0,270,15.1,1024.1
2018-02-28,47.3,39.02,60.08,0.3,211,19.4,1015.3
2018-12-01,38.660000000000004,35.06,44.96,0,40,10.8,1021.8
2018-12-02,44.239999999999995,41,51.08,19.1,89,13,1011
2018-12-03,50.36,44.06,57.92,0,264,16.9,1000.5
2018-12-04,39.56,27.14,44.06,0,319,25.2,1011.1
2018-12-05,29.48,25.16,35.96,0,335,11.2,1018.4
2018-12-06,35.24,30.2,42.08,0,262,17.6,1018.6
2018-12-07,36.68,26.240000000000002,39.92,0,279,21.6,1023
2018-12-08,26.240000000000002,20.12,31.1,0,304,16.9,1030.2
2018-12-09,28.94,23.18,37.04,0,246,15.1,1027.2
2018-12-10,33.08,26.240000000000002,39.02,0,331,14.4,1019.6
2018-12-11,29.66,23.18,37.94,0,292,10.8,1018.7
2018-12-12,33.62,24.26,39.02,0,321,19.8,1017.8
2018-12-13,27.32,21.2,35.06,0,39,9.7,1032.8
2018-12-14,36.5,29.12,46.04,0,174,9.4,1031.1
2018-12-15,48.379999999999995,39.92,55.04,0,278,14.8,1022
2018-12-16,43.519999999999996,41,44.96,13.7,56,28.8,1017.8
2018-12-17,39.92,35.96,42.980000000000004,1,316,23.4,1002.5
2018-12-18,32.54,25.16,39.02,0.5,305,33.5,1009.8
2018-12-19,30.56,24.26,42.08,0,253,15.8,1018.1
2018-12-20,39.38,32,50,0,204,13,1018.9
2018-12-21,51.620000000000005,42.980000000000004,64.94,15.5,134,23.8,1003
2018-12-22,51.8,37.04,55.94,0.5,236,27.7,995.3
2018-12-23,37.58,33.08,42.980000000000004,0,283,19.4,1016.6
2018-12-24,35.24,32,39.02,0,278,12.2,1016.4
2018-12-25,35.78,29.12,39.02,0,307,17.3,1021.7
2018-12-26,31.82,26.240000000000002,39.92,0,289,16.9,1028.5
2018-12-27,34.16,30.2,37.94,0,309,14.8,1035.3
2018-12-28,40.82,33.98,57.02,8.4,179,18.4,1020.2
2018-12-29,48.92,32,53.96,0,268,21.2,1011.3
2018-12-30,32,26.240000000000002,33.98,0,3,10.1,1023
2018-12-31,36.5,31.1,44.96,10.4,201,16.9,1025.6
